sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
226,Respiratory Rate,408680008,,0.981577337,APPROVED,3024171,
121,Blood Pressure Diastolic,404140393,,0.881285191,APPROVED,3012888,
132,Blood Pressure Systolic,394417637,,0.885558724,APPROVED,3004249,
164,Heart Rate,209199950,,1,APPROVED,3027018,
146,Mean Arterial Pressure,175265032,,0.997797728,APPROVED,4238447,
340,Level of Consciousness,157110479,,1,APPROVED,21494983,
237,Temperature (Route Not Specified),153179898,,0.467669159,APPROVED,3020891,
169,Heart Rate Monitored,129850416,,0.880899727,APPROVED,3027018,
430,SPO2 (Saturation of peripheral oxygen),117025131,,0.823043466,APPROVED,4096101,
79,Pain Scale Score,104080829,,0.833006144,APPROVED,4022240,
189,Pulse,98187215,,1,APPROVED,4224504,
246,Temperature Oral,96914231,,0.936658621,APPROVED,3006322,
207,Pulse Peripheral,94686838,,0.883174002,APPROVED,4183393,
250,Temperature Skin,94426320,,0.932131469,APPROVED,3039856,
80,Pain Scale Type,87059341,,1,APPROVED,21494994,
287,Cough,84437114,,1,APPROVED,254761,
256,Weight,83968873,,1,APPROVED,3025315,
339,Glasgow Coma Score,82927259,,0.998469174,APPROVED,3007194,
394,O2 Saturation (SO2),82787493,,0.401713222,APPROVED,4310328,
178,Height,76614822,,0.82186085,APPROVED,3036277,
281,Chief Complaint,70181421,,1,APPROVED,4143467,
217,Pulse Radial Left,67938589,,0.804098725,APPROVED,44809032,
218,Pulse Radial Right,66404649,,0.773517489,APPROVED,44809032,
78,Numeric Pain Scale 0-10,58221577,,0.602714002,APPROVED,4022240,
157,"BMI, Body Mass Index",58028878,,0.613944471,APPROVED,3038553,
201,Pulse Dorsalis Pedis Left,55162022,,0.826280296,APPROVED,3036460,
202,Pulse Dorsalis Pedis Right,52250462,,0.804630578,APPROVED,3009690,
71,Braden Scale for Predicting Pressure Ulcer Risk,51144948,,0.782775581,APPROVED,21493166,
481,"Symptoms, Gastrointestinal",47206659,,0.849516332,APPROVED,4147190,
356,Carbon dioxide,45307178,,1,UNCHECKED,19046180,
10,"Fall, History of",45066488,,0.654820502,APPROVED,4323345,
426,Pulse Oximetry,39927484,,1,APPROVED,4098046,
458,Mode of Transfer,39904096,,0.817193568,UNCHECKED,3047009,
251,Temperature Skin Lower Extremity,36554073,,0.73194325,APPROVED,3039856,
489,"Symptoms, Pain",35565841,,0.718029141,APPROVED,4329041,
365,FiO2 (Fraction of Inspired Oxygen),34691651,,0.779101968,APPROVED,4353936,
159,"BSA, Body Surface Area",34545989,,0.769126892,APPROVED,4201235,
252,Temperature Skin Upper Extremity,34182689,,0.718888164,APPROVED,3039856,
165,Heart Rate Apical,33033528,,0.768442214,APPROVED,3027018,
487,"Symptoms, Neurological",30685642,,0.831406415,APPROVED,4204047,
364,ETCO2 (End Tidal CO2),29322716,,0.593508422,APPROVED,4353938,
742,Electrocardiogram,28107870,,1,APPROVED,2007077,
483,"Symptoms, Genital",26056545,,0.72971952,UNCHECKED,198194,
338,Advanced Directive,25760185,,0.909329176,APPROVED,4149314,
82,Pregnancy Status,21592301,,0.77840811,APPROVED,0,
238,Temperature Axillary,19370647,,0.869874954,APPROVED,4188706,
269,"Weight, Daily Kilograms",18896013,,0.544862628,APPROVED,3025315,
418,PIP (Peak inspiratory pressure),17399821,,0.831205249,APPROVED,4101694,
253,Temperature Temporal Artery,17049242,,0.809409857,APPROVED,46235152,
410,Peep (Positive End Expiratory Pressure),16509932,,0.832439303,APPROVED,4353713,
485,"Symptoms, Musculoskeletal",16472770,,0.834733069,APPROVED,137379,
435,Tidal Volume,15938191,,1,APPROVED,4029625,
436,Emergency Department Acuity,15601427,,0.81700027,UNCHECKED,45879101,
279,"Weight, Pounds",13361977,,0.605088532,APPROVED,3025315,
343,Triage Notes,13233464,,0.955648839,UNCHECKED,46235116,
266,"Weight, Clinical",12364274,,0.63878417,APPROVED,3025315,
122,Blood Pressure Diastolic Cuff,11921977,,0.823248088,UNCHECKED,4322632,
75,FLACC Pain Scale (Face Legs Arms Cry Consolability Scale),11743791,,0.497684896,APPROVED,3036142,
182,"Height, Inches",11546144,,0.498960435,APPROVED,3036277,
254,Temperature Tympanic,11486989,,0.875854909,APPROVED,4215364,
