source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
NULL,0,JNJ_CERNER_PROV_SPEC,NULL,0,,1970-01-01,2099-12-31,
,0,JNJ_CERNER_PROV_SPEC,,0,,1970-01-01,2099-12-31,
Not Mapped,0,JNJ_CERNER_PROV_SPEC,Not Mapped,0,,1970-01-01,2099-12-31,
Not a Medical Speciality,0,JNJ_CERNER_PROV_SPEC,Not a Medical Speciality,0,,1970-01-01,2099-12-31,
Family/General Practice,0,JNJ_CERNER_PROV_SPEC,Family/General Practice,38004453,Specialty,1970-01-01,2099-12-31,
Internal Medicine,0,JNJ_CERNER_PROV_SPEC,Internal Medicine,38004456,Specialty,1970-01-01,2099-12-31,
Undefined / Unknown,0,JNJ_CERNER_PROV_SPEC,Undefined / Unknown,38004514,Specialty,1970-01-01,2099-12-31,
Other,0,JNJ_CERNER_PROV_SPEC,Other,0,,1970-01-01,2099-12-31,
Pediatrics,0,JNJ_CERNER_PROV_SPEC,Pediatrics,38004477,Specialty,1970-01-01,2099-12-31,
Emergency/Trauma,0,JNJ_CERNER_PROV_SPEC,Emergency/Trauma,38004510,Specialty,1970-01-01,2099-12-31,
Radiology,0,JNJ_CERNER_PROV_SPEC,Radiology,45756825,ABMS,1970-01-01,2099-12-31,
DCPTEAM,0,JNJ_CERNER_PROV_SPEC,DCPTEAM,0,,1970-01-01,2099-12-31,
Obstetrics and Gynecology,0,JNJ_CERNER_PROV_SPEC,Obstetrics and Gynecology,38004461,Specialty,1970-01-01,2099-12-31,
"Surgery, General",0,JNJ_CERNER_PROV_SPEC,"Surgery, General",38004447,Specialty,1970-01-01,2099-12-31,
Anesthesiology,0,JNJ_CERNER_PROV_SPEC,Anesthesiology,38004450,Specialty,1970-01-01,2099-12-31,
Orthopedics,0,JNJ_CERNER_PROV_SPEC,Orthopedics,38004465,Specialty,1970-01-01,2099-12-31,
Cardiology,0,JNJ_CERNER_PROV_SPEC,Cardiology,38004451,Specialty,1970-01-01,2099-12-31,
Psychiatry,0,JNJ_CERNER_PROV_SPEC,Psychiatry,38004469,Specialty,1970-01-01,2099-12-31,
Radiologist,0,JNJ_CERNER_PROV_SPEC,Radiologist,45756825,ABMS,1970-01-01,2099-12-31,
Neurology,0,JNJ_CERNER_PROV_SPEC,Neurology,38004458,Specialty,1970-01-01,2099-12-31,
Gastroenterology,0,JNJ_CERNER_PROV_SPEC,Gastroenterology,38004455,Specialty,1970-01-01,2099-12-31,
Ophthalmology,0,JNJ_CERNER_PROV_SPEC,Ophthalmology,38004463,Specialty,1970-01-01,2099-12-31,
Urology,0,JNJ_CERNER_PROV_SPEC,Urology,38004474,Specialty,1970-01-01,2099-12-31,
Family Practice,0,JNJ_CERNER_PROV_SPEC,Family Practice,38004453,Specialty,1970-01-01,2099-12-31,
Student,0,JNJ_CERNER_PROV_SPEC,Student,4277918,SNOMED,1970-01-01,2099-12-31,
Otolaryngology,0,JNJ_CERNER_PROV_SPEC,Otolaryngology,38004449,Specialty,1970-01-01,2099-12-31,
Gynecology,0,JNJ_CERNER_PROV_SPEC,Gynecology,38004461,Specialty,1970-01-01,2099-12-31,
Obstetrics,0,JNJ_CERNER_PROV_SPEC,Obstetrics,38004461,Specialty,1970-01-01,2099-12-31,
Hematology/Oncology,0,JNJ_CERNER_PROV_SPEC,Hematology/Oncology,38004502,Specialty,1970-01-01,2099-12-31,
Pulmonology,0,JNJ_CERNER_PROV_SPEC,Pulmonology,38004472,Specialty,1970-01-01,2099-12-31,
Dentistry,0,JNJ_CERNER_PROV_SPEC,Dentistry,43125856,NUCC,1970-01-01,2099-12-31,
Surgeon,0,JNJ_CERNER_PROV_SPEC,Surgeon,38004447,Specialty,1970-01-01,2099-12-31,
Physical Medicine and Rehabilitation,0,JNJ_CERNER_PROV_SPEC,Physical Medicine and Rehabilitation,38004468,Specialty,1970-01-01,2099-12-31,
Surgical Specialty,0,JNJ_CERNER_PROV_SPEC,Surgical Specialty,38004447,Specialty,1970-01-01,2099-12-31,
Podiatry,0,JNJ_CERNER_PROV_SPEC,Podiatry,38004486,Specialty,1970-01-01,2099-12-31,
"Surgery, Neuro",0,JNJ_CERNER_PROV_SPEC,"Surgery, Neuro",38004459,Specialty,1970-01-01,2099-12-31,
"Orthopedics, Reconstructive",0,JNJ_CERNER_PROV_SPEC,"Orthopedics, Reconstructive",38004465,Specialty,1970-01-01,2099-12-31,
Hospitalist,0,JNJ_CERNER_PROV_SPEC,Hospitalist,38004515,Specialty,1970-01-01,2099-12-31,
Dermatology,0,JNJ_CERNER_PROV_SPEC,Dermatology,38004452,Specialty,1970-01-01,2099-12-31,
