source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
%,0,JNJ_CERNER_UNITS,Percent,8554,UCUM,1970-01-01,2099-12-31,
/100,0,JNJ_CERNER_UNITS,per 100,8662,UCUM,1970-01-01,2099-12-31,
/(24.h),0,JNJ_CERNER_UNITS,per 24 Hours,44777556,UCUM,1970-01-01,2099-12-31,
[HPF],0,JNJ_CERNER_UNITS,per High Powered Field,8786,UCUM,1970-01-01,2099-12-31,
/L,0,JNJ_CERNER_UNITS,per Liter,9254,UCUM,1970-01-01,2099-12-31,
[LPF],0,JNJ_CERNER_UNITS,per Low Powered Field,8765,UCUM,1970-01-01,2099-12-31,
{Cells}/uL,0,JNJ_CERNER_UNITS,Cells per Microliter,8784,UCUM,1970-01-01,2099-12-31,
/MIN,0,JNJ_CERNER_UNITS,per Minute,8541,UCUM,1970-01-01,2099-12-31,
/mL,0,JNJ_CERNER_UNITS,per Milliliter,9257,UCUM,1970-01-01,2099-12-31,
/mm3,0,JNJ_CERNER_UNITS,per Cubic Millimeter,8785,UCUM,1970-01-01,2099-12-31,
/uL,0,JNJ_CERNER_UNITS,per Microliter,8647,UCUM,1970-01-01,2099-12-31,
[arb'U],0,JNJ_CERNER_UNITS,Arbitrary Units,9260,UCUM,1970-01-01,2099-12-31,
[arb'U]/mL,0,JNJ_CERNER_UNITS,Arbitrary Units per Milliliter,8980,UCUM,1970-01-01,2099-12-31,
Aerosol,0,JNJ_CERNER_UNITS,Aerosol,4271835,SNOMED,1970-01-01,2099-12-31,
Amp,0,JNJ_CERNER_UNITS,Ampule,45762934,SNOMED,1970-01-01,2099-12-31,
Apply,0,JNJ_CERNER_UNITS,Apply,4169951,SNOMED,1970-01-01,2099-12-31,
As directed,0,JNJ_CERNER_UNITS,As directed,4228744,SNOMED,1970-01-01,2099-12-31,
BT,0,JNJ_CERNER_UNITS,Bottle,4238725,SNOMED,1970-01-01,2099-12-31,
BU,0,JNJ_CERNER_UNITS,Billion Unit,0,,1970-01-01,2099-12-31,
BU/mL,0,JNJ_CERNER_UNITS,Billion Unit per Milliliter,0,,1970-01-01,2099-12-31,
Box,0,JNJ_CERNER_UNITS,Box,0,,1970-01-01,2099-12-31,
Bag,0,JNJ_CERNER_UNITS,Bag,4290599,SNOMED,1970-01-01,2099-12-31,
bar,0,JNJ_CERNER_UNITS,Bar,9464,UCUM,1970-01-01,2099-12-31,
Box dup,0,JNJ_CERNER_UNITS,Box dup,0,,1970-01-01,2099-12-31,
Br/min,0,JNJ_CERNER_UNITS,Breaths per Minute,0,,1970-01-01,2099-12-31,
